id,address,function,length,setpoint,gain,reset rate,deadband,cycle time,rate,system mode,control scheme,pump,solenoid,pressure measurement,crc rate,command response,time,binary result,categorized result,specific result
1371,4,16,90,10.4,114,0.3045,0.740104,1.31,0,0,0,0,1,-1,17473,1,1418683634,1,4,9
1372,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683634,1,4,9
1375,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683637,1,4,9
1376,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683637,1,4,9
1379,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683640,1,4,9
1380,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683640,1,4,9
1383,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683644,1,4,9
1384,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683644,1,4,9
1387,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683647,1,4,9
1388,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683647,1,4,9
1391,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683650,1,4,9
1392,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683651,1,4,9
1395,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683654,1,4,9
1396,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683654,1,4,9
1399,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683657,1,4,9
1400,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683657,1,4,9
1403,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683660,1,4,9
1404,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683660,1,4,9
1407,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683664,1,4,9
1408,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683664,1,4,9
1411,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683667,1,4,9
1412,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683667,1,4,9
1415,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683670,1,4,9
1416,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683670,1,4,9
1419,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683673,1,4,9
1420,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683674,1,4,9
1423,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683677,1,4,9
1424,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683677,1,4,9
1427,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683680,1,4,9
1428,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683680,1,4,9
1683,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684019,1,4,12
1684,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684019,1,4,12
1687,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684023,1,4,12
1688,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684023,1,4,12
1691,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684026,1,4,12
1692,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684026,1,4,12
1695,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684029,1,4,12
1696,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684029,1,4,12
1699,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684032,1,4,12
1700,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684033,1,4,12
1703,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684036,1,4,12
1704,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684036,1,4,12
1707,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684039,1,4,12
1708,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684039,1,4,12
1711,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684043,1,4,12
1712,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684043,1,4,12
1715,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684046,1,4,12
1716,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684046,1,4,12
1719,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684049,1,4,12
1720,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684049,1,4,12
1723,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684052,1,4,12
1724,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684053,1,4,12
1727,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684056,1,4,12
1728,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684056,1,4,12
1731,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684059,1,4,12
1732,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684059,1,4,12
1735,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684062,1,4,12
1736,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684063,1,4,12
1739,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684066,1,4,12
1740,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684066,1,4,12
1743,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684069,1,4,12
1744,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684069,1,4,12
1747,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684072,1,4,12
1748,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684073,1,4,12
1751,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684076,1,4,12
1752,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684076,1,4,12
1755,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684079,1,4,12
1756,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684079,1,4,12
1759,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684083,1,4,12
1760,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684083,1,4,12
1763,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684086,1,4,12
1764,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684086,1,4,12
1767,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684089,1,4,12
1768,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684089,1,4,12
1771,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684093,1,4,12
1772,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684093,1,4,12
1775,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684096,1,4,12
1776,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684096,1,4,12
2183,4,16,90,10.4,114,0.264744,0.25,1.31,0,0,1,0,1,-1,17460,1,1418684437,1,4,6
2184,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684437,1,4,6
2187,4,16,90,10.4,114,0.84621,0.25,1.31,0,0,1,0,1,-1,13126,1,1418684440,1,4,6
2188,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684441,1,4,6
2191,4,16,90,10.4,114,0.998543,0.25,1.31,0,0,1,0,1,-1,17473,1,1418684444,1,4,6
2192,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684444,1,4,6
2195,4,16,90,10.4,114,0.236468,0.25,1.31,0,0,1,0,1,-1,13619,1,1418684447,1,4,6
2196,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684447,1,4,6
2199,4,16,90,10.4,114,0.982111,0.25,1.31,0,0,1,0,1,-1,17976,1,1418684451,1,4,6
2200,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684451,1,4,6
2203,4,16,90,10.4,114,0.130214,0.25,1.31,0,0,1,0,1,-1,13636,1,1418684454,1,4,6
2204,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684454,1,4,6
2207,4,16,90,10.4,114,0.36615,0.25,1.31,0,0,1,0,1,-1,13107,1,1418684457,1,4,6
2208,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684457,1,4,6
2211,4,16,90,10.4,114,0.0170627,0.25,1.31,0,0,1,0,1,-1,12600,1,1418684461,1,4,6
2212,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684461,1,4,6
2215,4,16,90,10.4,114,0.261691,0.25,1.31,0,0,1,0,1,-1,14403,1,1418684464,1,4,6
2216,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684464,1,4,6
2219,4,16,90,10.4,114,0.504618,0.25,1.31,0,0,1,0,1,-1,16691,1,1418684467,1,4,6
2220,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684467,1,4,6
2223,4,16,90,10.4,114,0.650699,0.25,1.31,0,0,1,0,1,-1,14149,1,1418684471,1,4,6
2224,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684471,1,4,6
2227,4,16,90,10.4,114,0.391379,0.25,1.31,0,0,1,0,1,-1,14149,1,1418684474,1,4,6
2228,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684474,1,4,6
2231,4,16,90,10.4,114,0.627582,0.25,1.31,0,0,1,0,1,-1,13894,1,1418684477,1,4,6
2232,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684478,1,4,6
2235,4,16,90,10.4,114,0.281733,0.25,1.31,0,0,1,0,1,-1,13875,1,1418684481,1,4,6
2236,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684481,1,4,6
2239,4,16,90,10.4,114,0.519654,0.25,1.31,0,0,1,0,1,-1,13637,1,1418684484,1,4,6
2240,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684484,1,4,6
2243,4,16,90,10.4,114,0.764662,0.25,1.31,0,0,1,0,1,-1,14641,1,1418684487,1,4,6
2244,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684488,1,4,6
2911,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685146,1,4,12
2912,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685146,1,4,12
2915,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685149,1,4,12
2916,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685149,1,4,12
2919,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685152,1,4,12
2920,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685153,1,4,12
2923,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685156,1,4,12
2924,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685156,1,4,12
2927,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685159,1,4,12
2928,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685159,1,4,12
2931,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685162,1,4,12
2932,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685163,1,4,12
2935,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685166,1,4,12
2936,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685166,1,4,12
2939,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685169,1,4,12
2940,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685169,1,4,12
2943,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685172,1,4,12
2944,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685173,1,4,12
2947,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685176,1,4,12
2948,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685176,1,4,12
2951,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685179,1,4,12
2952,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685179,1,4,12
2955,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685182,1,4,12
2956,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685182,1,4,12
2959,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685186,1,4,12
2960,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685186,1,4,12
2963,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685189,1,4,12
2964,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685189,1,4,12
2967,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685192,1,4,12
2968,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685193,1,4,12
2971,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685196,1,4,12
2972,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685196,1,4,12
2975,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685199,1,4,12
2976,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685199,1,4,12
2979,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685202,1,4,12
2980,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685203,1,4,12
2983,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685206,1,4,12
2984,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685206,1,4,12
2987,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685209,1,4,12
2988,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685209,1,4,12
2991,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685212,1,4,12
2992,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685213,1,4,12
2995,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685216,1,4,12
2996,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685216,1,4,12
2999,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685219,1,4,12
3000,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685219,1,4,12
3003,4,16,90,10.4,114,0.843461,0.25,1.31,0,0,1,1,1,-1,12854,1,1418685222,1,4,6
3004,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685222,1,4,6
3007,4,16,90,10.4,114,0.523222,0.25,1.31,0,0,1,1,1,-1,14661,1,1418685226,1,4,6
