id,address,function,length,setpoint,gain,reset rate,deadband,cycle time,rate,system mode,control scheme,pump,solenoid,pressure measurement,crc rate,command response,time,binary result,categorized result,specific result
8525,4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,-1,26472,1,1418690803,1,6,18
8526,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690803,1,6,18
8529,4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,-1,39395,1,1418690806,1,6,18
8530,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690806,1,6,18
8533,4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,-1,55413,1,1418690809,1,6,18
8534,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690809,1,6,18
8537,4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,-1,56721,1,1418690812,1,6,18
8538,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690813,1,6,18
8541,4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,-1,32026,1,1418690816,1,6,18
8542,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690816,1,6,18
8545,4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,-1,47923,1,1418690819,1,6,18
8546,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690819,1,6,18
8549,4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,-1,37075,1,1418690822,1,6,18
8553,4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,-1,31101,1,1418690826,1,6,18
8554,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690826,1,6,18
8557,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,47446,1,1418690829,1,6,18
8558,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690829,1,6,18
8561,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,32323,1,1418690832,1,6,18
8562,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690833,1,6,18
8566,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690836,1,6,18
8569,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,18992,1,1418690839,1,6,18
8573,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,24135,1,1418690842,1,6,18
8577,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,15272,1,1418690846,1,6,18
8578,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690846,1,6,18
8581,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,56512,1,1418690849,1,6,18
8585,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,6045,1,1418690852,1,6,18
8586,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690853,1,6,18
8590,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690856,1,6,18
8593,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,49486,1,1418690859,1,6,18
8594,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690859,1,6,18
8597,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,27872,1,1418690862,1,6,18
8598,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690863,1,6,18
8601,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,37088,1,1418690866,1,6,18
8602,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690866,1,6,18
8605,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,4381,1,1418690869,1,6,18
8606,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690869,1,6,18
8609,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,27575,1,1418690872,1,6,18
8610,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690872,1,6,18
8613,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,62392,1,1418690876,1,6,18
8614,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690876,1,6,18
8617,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,2816,1,1418690879,1,6,18
8618,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690879,1,6,18
8621,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,10161,1,1418690882,1,6,18
8625,4,16,90,15.8,111,0.2592,0.48,0.9,0,0,0,1,0,-1,3647,1,1418690886,1,6,18
8629,4,16,90,15.8,111,0.2134,0.48,0.9,0,0,0,1,0,-1,3546,1,1418690889,1,6,18
8630,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690889,1,6,18
8633,4,16,90,15.8,111,0.2134,0.48,0.9,0,0,0,1,0,-1,6837,1,1418690892,1,6,18
8634,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690893,1,6,18
8638,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418690896,1,6,18
10741,4,16,90,19.2,119,0.3244,0.67,0.9,0,0,1,1,1,-1,57036,1,1418693047,1,6,18
10745,4,16,90,19.2,119,0.3244,0.67,0.9,0,0,1,1,1,-1,29471,1,1418693050,1,6,18
10746,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418693050,1,6,18
10749,4,16,90,10.6,119,0.3244,0.67,0.9,0,0,1,1,1,-1,32259,1,1418693053,1,6,18
10753,4,16,90,10.6,119,0.3244,0.67,0.9,0,0,1,1,1,-1,60665,1,1418693057,1,6,18
10757,4,16,90,10.6,119,0.3244,0.67,0.9,0,0,1,1,1,-1,21,1,1418693060,1,6,18
10761,4,16,90,10.6,119,0.3244,0.67,0.9,0,0,1,1,1,-1,42459,1,1418693063,1,6,18
10769,4,16,90,10.6,119,0.3244,0.67,0.9,0,0,1,1,1,-1,17059,1,1418693070,1,6,18
10773,4,16,90,10.6,119,0.3244,0.67,0.9,0,0,1,1,1,-1,58008,1,1418693073,1,6,18
10774,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418693073,1,6,18
10777,4,16,90,10.6,119,0.3244,0.67,0.9,0,0,1,1,1,-1,27419,1,1418693076,1,6,18
10778,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418693077,1,6,18
